sample,model,sim,nsim,inner,outer,fiber,master_fiber_index,fiberset_index,waveform_index,active_src_index,nerve_label,threshold,apnode,aptime,long_ap_pos,n_ap_sites,peak_second_diff,peak_second_diff_node,peri_thk,type,contact,pulse_width,fiber_diam
252,0,3,0,4,3,68,186,0,0,0,2L,2.642104,102,1.471,28859.318534076912,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,69,187,0,0,0,2L,2.686528,102,1.457,28805.69175924714,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,70,188,0,0,0,2L,2.719846,101,1.429,28665.206289306796,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,71,189,0,0,0,2L,2.630998,102,1.482,28751.527705195185,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,72,190,0,0,0,2L,2.573557,103,1.471,28962.847690075083,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,1,1,0,191,0,0,0,2L,1.535486,103,1.441,29226.47512006852,1,,,22.42166785789537,2D,cathodic,,
252,0,3,0,5,3,62,192,0,0,0,2L,2.930681,103,1.487,29061.091979704957,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,63,193,0,0,0,2L,3.040665,103,1.426,29222.07979505754,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,64,194,0,0,0,2L,2.955122,103,1.514,29056.433919708004,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,65,195,0,0,0,2L,2.918461,103,1.421,29075.19999176426,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,66,196,0,0,0,2L,2.918461,103,1.458,29176.44442507089,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,67,197,0,0,0,2L,3.138428,103,1.434,29119.259932948193,1,,,35.35557263576618,2D,cathodic,,
